,logFC,logCPM,F,PValue,FDR
ATF1,-0.23232934550660578,4.760980295186143,4.755932661074879,0.030162735299461885,0.12389964211013635
RPL4,-0.23305090753585386,10.817254148464514,14.733232854631968,0.00015896857200460427,0.0019319211691025873
MYLIP,-0.2332186912205781,6.521336243439488,5.366887220062113,0.02138012283158192,0.0969025663796626
RPL27,-0.23401676650162567,11.65239223317098,39.386484825568004,1.6426912839949115e-09,6.880236440375115e-08
RPS5,-0.23428502534363502,11.222889406761142,63.768310764040656,6.071762659514054e-14,4.827565870471259e-12
COQ7,-0.23430514561099694,5.0513007549713524,4.1594645180415935,0.04250700466864632,0.1599040568569526
RPL19,-0.23444774970957544,12.462517086185313,46.90075891025462,6.379892033888996e-11,3.2530514707579656e-09
METTL12,-0.23462267168873696,6.027470415331072,5.728798968980081,0.01747324028346401,0.08406868735356889
ZSWIM7,-0.23494975086143485,5.3040783743827244,7.0288987288155615,0.008563353945156215,0.050363675852855165
STX16,-0.23598043274444921,4.958155833870488,5.9771677311354745,0.015215662578587336,0.07614641970735742
C1orf35,-0.23603775493172333,5.191737406190436,8.247574372538953,0.004450749612335297,0.030214857353784198
RPL12,-0.23632189032598877,11.930300711219397,88.09762280527217,5.368343714588413e-18,8.224589548436502e-16
TRA2A,-0.23632197391349244,6.76985221583941,7.758204898554051,0.0057807850124942115,0.03704598701312889
RPL41,-0.23656414012713478,13.720103133155678,69.57589746300287,6.0963752042166374e-15,5.719619216596049e-13
RPL7,-0.23677781003243478,12.038293595518155,35.68321722948102,8.45585852087329e-09,3.0749172342183417e-07
ASNSD1,-0.23677988823644944,5.092855544935422,5.5418305080176715,0.01938237008284379,0.0908318661924278
FAM89B,-0.23727994658584536,5.290688663768705,4.53063187758359,0.034328670440657495,0.13670271055783048
RPS16,-0.23732968871266422,11.998486102050387,36.54343635964984,5.7657109246916596e-09,2.1465833291848073e-07
RPL10,-0.23827341000721292,13.481639845116282,85.17989933149258,1.580701099241634e-17,2.2469905625886377e-15
ZNF32,-0.23846825735528815,5.502605685613852,8.731618231384076,0.003444770784907962,0.024483969321217047
TNIP2,-0.23864974756034424,5.5091611383311045,8.142450414315105,0.004709020863525745,0.03164758864011357
KRCC1,-0.23875579035224315,5.17682388270681,4.990373479532204,0.026422652318346437,0.11196807771035514
SPOP,-0.2392763192426683,5.014253519374801,5.784040739968308,0.01693588485587334,0.08198785950351067
ERO1L,-0.23966665157111824,4.720544230103713,4.007716638035949,0.04640346239129841,0.1697961326658197
KLF12,-0.2397442470153291,5.240159093917403,6.257194854785777,0.013046321083347414,0.06884172351179159
ICAM2,-0.2399390899484932,5.891040314754489,5.960581006726135,0.015367331000980467,0.07633519651983334
TOR1AIP2,-0.24009146369304613,5.034781859132541,5.041036174508436,0.025672696306273446,0.10938294130129768
EEF1A1,-0.24013640669844813,13.316944673420517,13.157908437054157,0.00035065991089057794,0.0038613747464500024
RPL18,-0.24025658933695965,11.582171726783075,63.68223458581557,6.284310454630675e-14,4.913283390445416e-12
P4HTM,-0.2407043876192669,4.54200480913983,4.377066756841266,0.037446450036463526,0.14614084619055773
INTS6,-0.24077775167781854,4.7775212425901215,4.21725372696183,0.04108963725177225,0.15670852711224684
C6orf48,-0.24107744970674713,7.782783677661564,23.525473155479155,2.2358732991296785e-06,4.620476496130979e-05
CRTAP,-0.2411757201711755,4.424074668674082,4.4939653776734785,0.034998186429223276,0.1386022037840564
MCMBP,-0.2413018947200034,4.474801122310061,4.279744682609407,0.039604301442854595,0.15267710048648966
PPIL2,-0.24178710958617397,4.426227122454731,3.8892808571346937,0.049700190486533416,0.17797220883383838
ZFAND5,-0.24235217449152915,5.63833452010945,5.339518696545447,0.0217128627163325,0.09775514105076358
SUPT3H,-0.24250435257204442,5.191538409308795,4.546335045056431,0.03401795673014166,0.135695778079162
RPL35A,-0.24266164957827058,12.164610472556406,112.57806509332528,9.086550077734198e-22,2.5073533185088896e-19
MKNK2,-0.24280616544820055,4.838597533531384,4.083668393484486,0.04440850361282439,0.16544020013740332
CHD6,-0.2444478319198034,5.371059870575248,7.595159221872705,0.006309709050355608,0.039412576771262524
SRSF10,-0.24502815938878614,5.501903238123698,6.897863027348344,0.009195830525974063,0.05338816955116873
RPL23A,-0.24537803023388305,12.796432456681389,52.666958589049656,5.6279882812979144e-12,3.3418851933631033e-10
BTG1,-0.2460943019259352,10.139052554143014,28.03324794930439,2.7209680479271903e-07,7.013220391662885e-06
RPL27A,-0.2463053557630678,12.711157396855034,73.12630392429016,1.5298441270752811e-15,1.6310224545704872e-13
EIF4E,-0.24652151584165322,5.387677296885121,5.61888631638693,0.018573247467436268,0.08800717562600358
TMEM243,-0.24690747339916333,6.042135297476395,14.59699257228682,0.00017038851702273755,0.0020547365895981027
CCDC66,-0.24692710745777866,5.804380527247238,8.649133224506325,0.0035986985785753326,0.025423938301350733
PPP1R15A,-0.24731014246072833,7.509135905897574,5.922181101621197,0.015693253088954376,0.0771017413134587
AAK1,-0.24801618309879395,7.553619166014011,14.598883074402904,0.00017003010452643416,0.0020547365895981027
