,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
225,MIAT,3.8559544,0.41510868,0.00011527897842775713,0.0014716465331203036,0.1492269773694824,0.11472796254439781
214,LAG3,4.1222577,0.4115122,3.751767743601774e-05,0.0005024688942323804,0.16984091418328479,0.1336979334840168
191,H2AFY,4.740902,0.41129544,2.127688488786488e-06,3.191532733179732e-05,0.18843827022182388,0.1463311268969971
78,KLRG1,9.903311,0.40954483,4.027179318198573e-23,1.4733582871458193e-21,0.4496975128837105,0.3722554084597998
33,H3F3A,18.232925,0.40945727,2.8278426176450733e-74,2.4238651008386344e-72,0.8565987004257226,0.7811390054891831
48,CALM2,14.154085,0.40711495,1.7621529720955197e-45,1.0365605718208938e-43,0.6477705579206812,0.5522077817242492
123,MIR142,6.9731946,0.40660828,3.0982354491290096e-12,7.205198718904674e-11,0.29374859959668387,0.23270503713270907
23,IL32,21.586975,0.40602347,2.3809655506293493e-103,2.8571586607552192e-101,0.9475688998431548,0.9258960284145947
198,ARID5B,4.519119,0.39508295,6.209752978588539e-06,8.956374488348856e-05,0.19000672193591756,0.14990313206328706
187,RGS19,4.842295,0.39392906,1.2834784294402063e-06,1.9645078001635813e-05,0.20076181940398835,0.1578543752018082
211,CASP1,4.14613,0.3931981,3.3814184012483926e-05,0.0004590160725676551,0.175442527447905,0.13908621246367453
177,IQGAP1,5.2677474,0.38720888,1.3810789185415965e-07,2.2517591063178206e-06,0.22451265964597805,0.17797465288989345
207,MTPN,4.2062535,0.3853524,2.5963922486110607e-05,0.0003589482371351697,0.17589065650907462,0.138420245398773
148,ABHD17A,6.395157,0.38419333,1.6038238306395663e-10,3.1243321376095445e-09,0.28613040555680036,0.23131256054246044
162,ATP6V0B,5.906712,0.38101754,3.490028618343241e-09,6.195317073982084e-08,0.2531929195608335,0.20069825637713917
